@id;@lon;@lat;name;addr:city;addr:street;addr:postcode;addr:housenumber
1019768402;11.0556244;49.4519577;Kyklos;Nürnberg;Bärenschanzstraße;90429;65
1023793223;11.0993890;49.4650163;Xinh Sushi;Nürnberg;Praunstraße;90489;20
1119909645;10.9883921;49.4792088;Pizza-Bar;Fürth;Gustavstraße;90762;39
1120010757;10.9860322;49.4794550;Made in Italy;Fürth;Königstraße;90762;44
1125959163;11.0880428;49.4541242;Müller's Restaurant;Nürnberg;Keßlerstraße;90489;4
1142007006;11.0736576;49.4555679;Prison Saint Michel;Nürnberg;Irrerstraße;90403;2
1166182801;11.0757596;49.4545611;Il Rossini;;;;
1166646998;11.0163695;49.4148578;Restaurant Poseidon;;;;
1166654017;11.0078313;49.4805525;Restaurant im Adler Modemarkt;;;;
1206994109;11.0793289;49.4141247;Haltestell';;Julius-Loßmann-Straße;;40
1236572558;11.0995023;49.4604453;Royal Tandoori;Nürnberg;Fenitzerstraße;90489;12
1240638416;10.9911256;49.4606534;Spizzi;Fürth;Steubenstraße;90763;22
1262004544;10.9884087;49.4561838;DANAI;Fürth;Schwabacher Straße;90763;256
1266807475;11.0909401;49.4604434;Pizza Italia;Nürnberg;Veillodterstraße;90409;33
1269807907;10.9682529;49.5023384;China-Haus;;;;
1269807910;10.9639956;49.5046687;Fortezza;Fürth;Melli-Beese-Straße;;19
1305553521;11.0782236;49.4452000;Del Centro;Nürnberg;Eilgutstraße;90443;10
1346756789;11.0770466;49.4534415;Provenza;Nürnberg;Hauptmarkt;90403;6-8
1370487498;11.1163171;49.4550768;Pho Hanoi;Nürnberg;Ostendstraße;90482;97
1370541718;11.1287223;49.4453727;Zabo Park;Nürnberg;Bingstraße;90480;1
1372298653;11.0772738;49.4549312;Zum Spießgesellen;Nürnberg;Rathausplatz;90403;4
1374739023;11.1160575;49.4754411;Klingenwald 1;Nürnberg;Kieslingstraße;90491;53b
1377422439;11.0933907;49.4424602;Zur Stadtgrenze;Nürnberg;Wilhelm-Spaeth-Straße;90478;2
1382734529;11.0812382;49.4382453;Crêperie Yechet Mad;Nürnberg;Brosamerstraße;90459;12
1383502464;11.1244178;49.4435912;Endressche Gaststätte;;;;
1393035270;11.1047330;49.4847418;Caravelle;;;;
1401832659;11.0632324;49.4572808;Goldene Linde;Nürnberg;Lindengasse;90419;22
1403218532;11.1339756;49.4794396;Gaststätte Ferdinand Ott;;;;
1417654783;11.1143108;49.4415228;Gaststätte Falke-Saal;;;;
1421405690;11.0210852;49.4352820;Gasthaus Rottner;Nürnberg;Winterstraße;90431;15
1426226269;11.0361281;49.4571135;Senefelder Haus;Nürnberg;Fürther Straße;90429;195
1429345068;11.0318749;49.4589995;Dolce Vita;Nürnberg;Fürther Straße;90429;234
1429345070;11.0344980;49.4611252;Kleingartenverein Fuchsloch e.V.;;;;
1429345138;11.0323545;49.4591141;Steki;;;;
1447494525;10.9690129;49.4203557;Asbacher Hof;Oberasbach;Jahnstraße;90522;16
1455443383;11.0708469;49.4630771;Platnersanlage;;;;
1457529147;11.1271744;49.4642742;Ristorante Prego;Nürnberg;Thumenberger Weg;90491;17
1478077216;11.0674688;49.4576344;Tibet;Nürnberg;Johannisstraße;90419;28
1481176526;11.0729696;49.4650963;Frankenstube;Nürnberg;Pilotystraße;90408;73
1484631806;11.0237755;49.4200304;Akropolis Restaurant;Nürnberg;Herriedener Straße;90449;38
1495109141;11.0974939;49.4675020;El Torero;Nürnberg;Hintermayrstraße;90409;2
1497810747;11.0424614;49.4571204;Maximiliansburg;Nürnberg;Maximilianstraße;90429;28
1499696855;11.0744893;49.4455402;Tinto Tapas;Nürnberg;Lessingstraße;90443;6
1501152495;11.0828251;49.4500325;Marientorzwinger;Nürnberg;Lorenzer Straße;90402;33
1503630924;11.0736151;49.4526201;KonTiki;Nürnberg;Untere Wörthstraße;90403;10-14
1503636411;11.0754790;49.4523829;Café LUCAS;Nürnberg;Kaiserstraße;90403;22
1506890524;11.0776632;49.4534304;ALEX;Nürnberg;Hauptmarkt;90403;10
1508913889;11.0762598;49.4779503;F.C. Bayern-Kickers;;;;
1510521243;11.1026570;49.4615114;Savanna;Nürnberg;Schoppershofstraße;90489;20a
1515576310;11.0702808;49.4668920;Thoner Hof;Nürnberg;Gärtnerstraße;90408;12
1516260585;11.0852187;49.4610668;Bavaria Stuben Zourlantoni Stathu;Nürnberg;Pirckheimerstraße;90409;83
1516260594;11.0843062;49.4611629;Seoul kitchen;Nürnberg;Pirckheimerstraße;90409;75
1516260611;11.0833444;49.4606511;Noodle & Rice;Nürnberg;Pirckheimerstraße;90408;68
1516260614;11.0897751;49.4613946;Ha Long;Nürnberg;Wurzelbauerstraße;90409;21
1516260629;11.0819160;49.4610122;Fischküche Pirckheimer;Nürnberg;Pirckheimerstraße;90408;63
1516260631;11.0886516;49.4632726;Gregor Samsa;Nürnberg;Maxfeldstraße;90409;79
1516260645;11.0896032;49.4613806;L'Osteria;Nürnberg;Pirckheimerstraße;90409;116
1516260691;11.0798289;49.4632385;Taverna Meteora;Nürnberg;Friedrichstraße;90408;53
1517553048;11.0934718;49.4643260;Parks Tag und Nacht;Nürnberg;Berliner Platz;90409;9
1517553057;11.0935764;49.4623216;Shilton;Nürnberg;Bayreuther Straße;90489;36
1517592736;11.1225907;49.4661962;Maothai;Nürnberg;Äußere Sulzbacher Straße;90491;151
1519935361;11.0977660;49.4574767;Losunger Braustuben;Nürnberg;Siebmacherstraße;90489;1
1519942478;11.0943247;49.4530087;kim chung;Nürnberg;Wollentorstraße;90489;3
1523320138;11.0498637;49.5117180;Gasthaus zum Schwarzen Adler;Nürnberg;Kraftshofer Hauptstraße;90427;166
1523320317;11.0517138;49.5204713;Zum alten Forsthaus;Nürnberg;Untere Dorfstraße;90427;6
1525368158;11.0740056;49.4614672;Nel parco;Nürnberg;Pirckheimerstraße;90408;9 a
1527037129;11.0758659;49.4644474;Lönneberga;Nürnberg;Uhlandstraße;90408;21
1527179560;11.0635380;49.4585981;Barockhäusle am Hesperidengarten;;;;
1527179578;11.0591581;49.4611897;Paradies;Nürnberg;Poppenreuther Straße;90419;21
1527199954;11.0930016;49.4607166;Mai Thai;Nürnberg;Ludwig-Feuerbach-Straße;90489;3
1527269437;11.0572503;49.4588766;Le Virage;Nürnberg;Helmstraße;90419;19
1528807527;11.0889424;49.4449212;Manopolis;Nürnberg;Scheurlstraße;90478;16
1528865621;11.0803647;49.4559182;A Tavola;Nürnberg;Theresienplatz;90403;7
1528865623;11.0743844;49.4562172;Albrecht-Dürer-Stube;Nürnberg;Albrecht-Dürer-Straße;90403;6
1528865625;11.0744719;49.4555787;bahama;;;;
1528865626;11.0844154;49.4566238;Amici Pizza;Nürnberg;Äußere Laufer Gasse;90403;12
1528865629;11.0744892;49.4558368;Burg-Schänke;Nürnberg;Albrecht-Dürer-Straße;90403;2
1528865632;11.0900095;49.4592435;Cattolica;Nürnberg;Bayreuther Straße;90409;13
1528865636;11.0833143;49.4560612;dean&david;Nürnberg;Innere Laufer Gasse;90403;35
1528865637;11.0827015;49.4557408;Delphi;Nürnberg;Innere Laufer Gasse;90403;22
1528865646;11.0742775;49.4557645;Alte Küch'n;Nürnberg;Albrecht-Dürer-Straße;90403;3
1528865657;11.0751719;49.4571020;Hütt'n;Nürnberg;Bergstraße;90403;20
1528865659;11.0847144;49.4556616;Ko Samui;Nürnberg;Beckschlagergasse;90403;6
1528865660;11.0761189;49.4568882;Kaiserburg;Nürnberg;Obere Krämersgasse;90403;20
1528865680;11.0845888;49.4559060;Casa Mia;Nürnberg;Innerer Laufer Platz;90403;2
1528865878;11.0734154;49.4554725;Al Plato;Nürnberg;Irrerstraße;90403;9
1528865888;11.0740969;49.4555342;Sebald;;Weinmarkt;;14
1528865926;11.0822601;49.4594075;Spillmann's;Nürnberg;Rollnerstraße;90408;8
1528866022;11.0848401;49.4556184;Wittmanns bio;Nürnberg;Beckschlagergasse;90403;8
1528866035;11.0844084;49.4556603;Beckschlager;Nürnberg;Rosental;90403;1
